Receptor,PDB_code,Chain_name,Activity,Ligand_name,G_prt,Other,Resolution
CALCR,6NIY,R,A ,,,,
CALRL,6E3Y,R,A ,,,,
CALRL,6UUN,R,A ,,,,
CALRL,6UUS,R,A ,,,,
CALRL,6UVA,R,A ,,,,
CALRL,7KNU,R,I,,,,
CRFR1,4K5Y,A,I,,,,
CRFR1,6P9X,R,A ,,,,
CRFR1,6PB0,R,A ,,,,
CRFR2,6PB1,P,A ,,,,
GCGR,5YQZ,R,I,,,,
GCGR,6LML,R,A ,,,,
GCGR,6WPW,R,A ,,,,
GHRHR,7CZ5,R,A ,,,,
GLP1R,6LN2,A,I,,,,
GLP1R,6X18,R,A ,,,,
GLP1R,7LCI,R,A ,,,,
GLP2R,7D68,R,A ,,,,
PACR,6M1I,A,A ,,,,
PTH1R,6FJ3,A,I,,,,
PTH1R,6NBF,R,A ,,,,
SCTR,6WZG,R,A ,,,,
VIPR1,6VN7,R,A ,,,,
