Receptor,PDB_code,Receptor_chain,Activity,Ligand,Gs,Gbeta,Ggamma,RAMP1,RAMP2,RAMP3,Nanobody,Other,Resolution
CALCR,6NIY,R,A,P,A,B,G,,,,N,,3.34
CALCR,5UZ7,R,A,,A,B,G,,,,N,,4.1
CALRL,7KNU,R,I,P,,,,E,,,,,3.5
CALRL,7KNT,R,I,,,,,E,,,,,3.2
CALRL,6UUS,R,A,P,A,B,G,,,E,N,,2.4
CALRL,6UVA,R,A,P,A,B,G,,,E,N,,2.3
CALRL,6UUN,R,A,P,A,B,G,,E,,N,,3
CALRL,6E3Y,R,A,P,A,B,G,E,,,N,,3.3
CRFR1,6PB0,R,A,U,A,B,G,,,,N,,3
CRFR1,6P9X,R,A,P,A,B,G,,,,N,,2.9
CRFR1,4Z9G,A,I,,,,,,,,,,3.2
CRFR1,4K5Y,C,I,,,,,,,,,,3
CRFR2,6PB1,P,A,U,A,B,G,,,,N,,2.8
GHRHR,7CZ5,R,A,P,A,B,G,,,,N,,2.6
GLP1R,7LCK,R,A,,,,,,,,,,3.2
GLP1R,7LCI,R,A,,A,B,G,,,,,,2.9
GLP1R,7LCJ,R,A,,,,,,,,,,2.8
GLP1R,6XOX,R,A,,A,B,G,,,,N,E,3.1
GLP1R,6X18,R,A,P,A,B,G,,,,N,,2.1
GLP1R,6X19,R,A,,A,B,G,,,,N,,2.1
GLP1R,GX1A,R,A,,A,B,G,,,,N,,2.5
GLP1R,7C2E,R,A,,A,B,G,,,,N,,4.2
GLP1R,6VCB,R,A,P,A,B,G,,,,N,,3.3
GLP1R,6LN2,A,I,,,,,,,,B,C,3.2
GLP1R,6ORV,RP,A,,AP,BP,GP,,,,NP,,3
GLP1R,6KJV,B,I,,,,,,,,,,2.8
GLP1R,6KK1,B,I,,,,,,,,,,2.8
GLP1R,6KK7,B,I,,,,,,,,,,3.1
GLP1R,6B3J,R,A,P,A,B,G,,,,N,,3.3
GLP1R,5VEW,A,I,,,,,,,,,,2.7
GLP1R,5VEX,B,I,,,,,,,,,,3
GLP2R,7D68,R,A,P,A,B,G,,,,N,,3
GCGR,6WPW,R,A,P,C,D,G,,,,N,,3.1
GCGR,6WHC,R,A,E,A,B,C,,,,N,,3.4
GCGR,6LML,R,A,E,A,B,C,,,,,D,3.9
GCGR,6LMK,R,A,E,A,B,C,,,,N,,3.7
GCGR,5YQZ,R,I,P,,,,,,,,,3
GCGR,5XEZ,B,I,,,,,,,,H,L,3
GCGR,5XF1,B,I,,,,,,,,H,L,3.2
GCGR,5EE7,A,I,,,,,,,,,,2.5
GCGR,4L6R,A,I,,,,,,,,,,3.3
PACR,6LPB,R,A,P,A,B,G,,,,N,,3.9
PACR,6M1I,A,A,B,F,E,D,,,,C,,3.5
PACR,6M1H,A,A,B,,,,,,,C,,3.6
PACR,6P9Y,R,A,P,A,B,G,,,,N,,3
PTH1R,6NBI,R,A,P,A,B,G,,,,N,,4
PTH1R,6NBH,R,A,P,A,B,G,,,,N,,3.5
PTH1R,6NBF,R,A,P,A,B,G,,,,N,,3
PTH1R,6FJ3,A,I,B,,,,,,,,,2.5
SCTR,7D3S,R,A,P,A,B,G,,,,N,,2.9
SCTR,6WZG,R,A,P,A,B,G,,,,N,,2.3
SCTR,6WI9,R,A,P,A,B,G,,,,N,,4.3
VIPR1,6VN7,R,A,L,A,B,G,,,,N,,3.2
