sp|P47872|SCTR_HUMAN,Secretin receptor OS=Homo sapiens OX=9606 GN=SCTR PE=2 SV=2,9606
tr|G3SA07|G3SA07_GORGO,Secretin receptor OS=Gorilla gorilla gorilla OX=9595 PE=3 SV=1,9595
tr|H2QIM4|H2QIM4_PANTR,SCTR isoform 3 OS=Pan troglodytes OX=9598 GN=SCTR PE=3 SV=1,9598
tr|A0A2R8ZBW6|A0A2R8ZBW6_PANPA,Secretin receptor OS=Pan paniscus OX=9597 GN=SCTR PE=3 SV=1,9597
tr|G1RH59|G1RH59_NOMLE,Secretin receptor OS=Nomascus leucogenys OX=61853 GN=SCTR PE=3 SV=1,61853
tr|H2P7C5|H2P7C5_PONAB,Secretin receptor OS=Pongo abelii OX=9601 GN=SCTR PE=3 SV=1,9601
tr|A0A0D9RVJ5|A0A0D9RVJ5_CHLSB,Secretin receptor OS=Chlorocebus sabaeus OX=60711 GN=SCTR PE=3 SV=1,60711
tr|A0A2K5Y3M2|A0A2K5Y3M2_MANLE,Secretin receptor OS=Mandrillus leucophaeus OX=9568 GN=SCTR PE=3 SV=1,9568
tr|A0A2K5MG90|A0A2K5MG90_CERAT,Secretin receptor OS=Cercocebus atys OX=9531 GN=SCTR PE=3 SV=1,9531
tr|A0A096MQK5|A0A096MQK5_PAPAN,Secretin receptor OS=Papio anubis OX=9555 GN=SCTR PE=3 SV=1,9555
tr|A0A2K6E6E3|A0A2K6E6E3_MACNE,Secretin receptor OS=Macaca nemestrina OX=9545 GN=SCTR PE=3 SV=1,9545
tr|G7PN54|G7PN54_MACFA,Uncharacterized protein OS=Macaca fascicularis OX=9541 GN=EGM_05193 PE=3 SV=1,9541
tr|F6TRW6|F6TRW6_MACMU,Secretin receptor OS=Macaca mulatta OX=9544 GN=SCTR PE=3 SV=1,9544
tr|G1STM3|G1STM3_RABIT,Secretin receptor OS=Oryctolagus cuniculus OX=9986 GN=SCTR PE=3 SV=2,9986
tr|H0WGS3|H0WGS3_OTOGA,Secretin receptor OS=Otolemur garnettii OX=30611 GN=SCTR PE=3 SV=1,30611
tr|I3M8I3|I3M8I3_ICTTR,Secretin receptor OS=Ictidomys tridecemlineatus OX=43179 GN=SCTR PE=3 SV=2,43179
tr|H0VT27|H0VT27_CAVPO,Secretin receptor OS=Cavia porcellus OX=10141 GN=SCTR PE=3 SV=2,10141
tr|A0A091DCI7|A0A091DCI7_FUKDA,Secretin receptor OS=Fukomys damarensis OX=885580 GN=H920_08761 PE=3 SV=1,885580
tr|G5AW90|G5AW90_HETGA,Secretin receptor OS=Heterocephalus glaber OX=10181 GN=GW7_17738 PE=3 SV=1,10181
tr|A0A1S3FHW9|A0A1S3FHW9_DIPOR,secretin receptor isoform X1 OS=Dipodomys ordii OX=10020 GN=Sctr PE=3 SV=1,10020
tr|A0A1U8BZI8|A0A1U8BZI8_MESAU,secretin receptor isoform X1 OS=Mesocricetus auratus OX=10036 GN=Sctr PE=3 SV=1,10036
tr|G3H5D7|G3H5D7_CRIGR,Secretin receptor OS=Cricetulus griseus OX=10029 GN=I79_005524 PE=3 SV=1,10029
sp|P23811|SCTR_RAT,Secretin receptor OS=Rattus norvegicus OX=10116 GN=Sctr PE=2 SV=1,10116
sp|Q5FWI2|SCTR_MOUSE,Secretin receptor OS=Mus musculus OX=10090 GN=Sctr PE=2 SV=1,10090
