Vasoactive intestinal peptide receptor 1a OS=Poecilia formosa OX=48698 PE=3 SV=2 tr|A0A087YDJ2|A0A087YDJ2_POEFO
vasoactive intestinal polypeptide receptor-like isoform X1 OS=Salmo salar OX=8030 GN=LOC106569811 PE=3 SV=1 tr|A0A1S3M140|A0A1S3M140_SALSA
Vasoactive intestinal peptide receptor 1a OS=Oryzias latipes OX=8090 PE=3 SV=2 tr|H2M8Y6|H2M8Y6_ORYLA
Putative vasoactive intestinal polypeptide receptor 1 OS=Scophthalmus maximus OX=52904 GN=SMAX5B_006662 PE=3 SV=1 tr|A0A2U9BKT5|A0A2U9BKT5_SCOMX
vasoactive intestinal polypeptide receptor-like isoform X1 OS=Austrofundulus limnaeus OX=52670 GN=LOC106517907 PE=3 SV=1 tr|A0A2I4B9I2|A0A2I4B9I2_9TELE
Vasoactive intestinal polypeptide receptor (Fragment) OS=Opisthocomus hoazin OX=30419 GN=N306_07674 PE=3 SV=1 tr|A0A091VS87|A0A091VS87_OPIHO
Vasoactive intestinal polypeptide receptor (Fragment) OS=Charadrius vociferus OX=50402 GN=N301_01364 PE=3 SV=1 tr|A0A0A0A7Y0|A0A0A0A7Y0_CHAVO
Vasoactive intestinal polypeptide receptor (Fragment) OS=Nipponia nippon OX=128390 GN=Y956_03892 PE=3 SV=1 tr|A0A091W2N0|A0A091W2N0_NIPNI
Vasoactive intestinal polypeptide receptor (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_14616 PE=3 SV=1 tr|A0A087QVN3|A0A087QVN3_APTFO
Vasoactive intestinal polypeptide receptor (Fragment) OS=Cuculus canorus OX=55661 GN=N303_03740 PE=3 SV=1 tr|A0A091FYD2|A0A091FYD2_9AVES
Vasoactive intestinal polypeptide receptor (Fragment) OS=Calypte anna OX=9244 GN=N300_12080 PE=3 SV=1 tr|A0A091IFG9|A0A091IFG9_CALAN
Uncharacterized protein OS=Taeniopygia guttata OX=59729 PE=3 SV=1 tr|H0YPU2|H0YPU2_TAEGU
Vasoactive intestinal polypeptide receptor (Fragment) OS=Egretta garzetta OX=188379 GN=Z169_01009 PE=3 SV=1 tr|A0A091K933|A0A091K933_EGRGA
Vasoactive intestinal polypeptide receptor OS=Lonchura striata domestica OX=299123 GN=VIPR1 PE=3 SV=1 tr|A0A218UHN9|A0A218UHN9_9PASE
Vasoactive intestinal peptide receptor 1 OS=Ficedula albicollis OX=59894 GN=VIPR1 PE=3 SV=1 tr|U3JE10|U3JE10_FICAL
Vasoactive intestinal peptide receptor 1 OS=Columba livia OX=8932 GN=VIPR1 PE=3 SV=1 tr|A0A2I0MRD7|A0A2I0MRD7_COLLI
Vasoactive intestinal polypeptide receptor 1 OS=Patagioenas fasciata monilis OX=372326 GN=VIPR1 PE=3 SV=1 tr|A0A1V4KL87|A0A1V4KL87_PATFA
Vasoactive intestinal polypeptide receptor-like protein OS=Amazona aestiva OX=12930 GN=AAES_01826 PE=3 SV=1 tr|A0A0Q3XAN0|A0A0Q3XAN0_AMAAE
Uncharacterized protein OS=Gallus gallus OX=9031 GN=VIPR1 PE=3 SV=2 tr|F1P200|F1P200_CHICK
