Growth hormone-releasing hormone receptor a OS=Danio rerio OX=7955 GN=ghrhra PE=3 SV=1 tr|A0A0R4IKR9|A0A0R4IKR9_DANRE
vasoactive intestinal polypeptide receptor 1-like OS=Ictalurus punctatus OX=7998 GN=LOC108280336 PE=3 SV=1 tr|A0A2D0T734|A0A2D0T734_ICTPU
Growth hormone releasing hormone receptor a OS=Astyanax mexicanus OX=7994 PE=3 SV=1 tr|A0A3B1ISX9|A0A3B1ISX9_ASTMX
Growth hormone releasing hormone receptor a OS=Oryzias latipes OX=8090 GN=LOC101159138 PE=3 SV=2 tr|H2MTX3|H2MTX3_ORYLA
Growth hormone releasing hormone receptor a OS=Xiphophorus maculatus OX=8083 PE=3 SV=1 tr|M4ARC7|M4ARC7_XIPMA
Growth hormone releasing hormone receptor a OS=Poecilia formosa OX=48698 PE=3 SV=1 tr|A0A087XMS0|A0A087XMS0_POEFO
pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Austrofundulus limnaeus OX=52670 GN=LOC106532763 PE=3 SV=1 tr|A0A2I4CWK4|A0A2I4CWK4_9TELE
Growth hormone releasing hormone receptor a OS=Oreochromis niloticus OX=8128 PE=3 SV=1 tr|I3JS29|I3JS29_ORENI
Growth hormone releasing hormone receptor a OS=Takifugu rubripes OX=31033 PE=3 SV=2 tr|H2U6R2|H2U6R2_TAKRU
Growth hormone releasing hormone receptor a OS=Tetraodon nigroviridis OX=99883 PE=3 SV=1 tr|H3DMQ6|H3DMQ6_TETNG
Growth hormone releasing hormone receptor a OS=Gasterosteus aculeatus OX=69293 PE=3 SV=1 tr|G3PYL1|G3PYL1_GASAC
Putative pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Scophthalmus maximus OX=52904 GN=SMAX5B_005917 PE=3 SV=1 tr|A0A2U9BIP0|A0A2U9BIP0_SCOMX
Growth hormone-releasing hormone receptor b OS=Danio rerio OX=7955 GN=ghrhrb PE=3 SV=1 tr|E7FF79|E7FF79_DANRE
Pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Scleropages formosus OX=113540 GN=Z043_108219 PE=4 SV=1 tr|A0A0P7VC81|A0A0P7VC81_9TELE
Growth hormone releasing hormone receptor b OS=Astyanax mexicanus OX=7994 PE=3 SV=1 tr|A0A3B1J280|A0A3B1J280_ASTMX
vasoactive intestinal polypeptide receptor 1-like OS=Ictalurus punctatus OX=7998 GN=LOC108271568 PE=3 SV=1 tr|A0A2D0RW40|A0A2D0RW40_ICTPU
Growth hormone releasing hormone receptor b OS=Oryzias latipes OX=8090 GN=LOC101168197 PE=3 SV=2 tr|H2MCR9|H2MCR9_ORYLA
Growth hormone releasing hormone receptor b OS=Oreochromis niloticus OX=8128 GN=LOC100710271 PE=3 SV=1 tr|I3KTQ5|I3KTQ5_ORENI
Growth hormone releasing hormone receptor b OS=Xiphophorus maculatus OX=8083 PE=3 SV=1 tr|A0A3B5QCT4|A0A3B5QCT4_XIPMA
Growth hormone releasing hormone receptor b OS=Poecilia formosa OX=48698 PE=3 SV=1 tr|A0A096LYR5|A0A096LYR5_POEFO
pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Austrofundulus limnaeus OX=52670 GN=LOC106524205 PE=3 SV=1 tr|A0A2I4C052|A0A2I4C052_9TELE
Growth hormone releasing hormone receptor b OS=Takifugu rubripes OX=31033 PE=3 SV=2 tr|H2S0P7|H2S0P7_TAKRU
Growth hormone releasing hormone receptor b OS=Tetraodon nigroviridis OX=99883 PE=3 SV=1 tr|H3CL61|H3CL61_TETNG
Growth hormone releasing hormone receptor b OS=Gasterosteus aculeatus OX=69293 PE=3 SV=1 tr|G3NP55|G3NP55_GASAC
Putative pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Scophthalmus maximus OX=52904 GN=SMAX5B_009204 PE=3 SV=1 tr|A0A2U9C5X0|A0A2U9C5X0_SCOMX
pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Salmo salar OX=8030 GN=LOC106560417 PE=3 SV=1 tr|A0A1S3KJM2|A0A1S3KJM2_SALSA
pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Salmo salar OX=8030 GN=LOC106583994 PE=3 SV=1 tr|A0A1S3P9B7|A0A1S3P9B7_SALSA
Vasoactive intestinal polypeptide receptor 1-like (Fragment) OS=Scleropages formosus OX=113540 GN=Z043_117192 PE=3 SV=1 tr|A0A0P7WL76|A0A0P7WL76_9TELE
Uncharacterized protein OS=Lepisosteus oculatus OX=7918 PE=3 SV=1 tr|W5MTL3|W5MTL3_LEPOC
Growth hormone-releasing hormone-like peptide receptor OS=Gallus gallus OX=9031 GN=GHRHR-LR PE=2 SV=1 tr|B3F053|B3F053_CHICK
Uncharacterized protein OS=Meleagris gallopavo OX=9103 GN=LOC100550646 PE=3 SV=1 tr|G3UTA8|G3UTA8_MELGA
Uncharacterized protein OS=Anas platyrhynchos OX=8839 GN=LOC101789968 PE=3 SV=1 tr|U3IRG3|U3IRG3_ANAPL
Uncharacterized protein OS=Taeniopygia guttata OX=59729 PE=3 SV=1 tr|H0YPV9|H0YPV9_TAEGU
Vasoactive intestinal polypeptide receptor 1 OS=Lonchura striata domestica OX=299123 GN=VIPR1_1 PE=4 SV=1 tr|A0A218UHW1|A0A218UHW1_9PASE
Uncharacterized protein OS=Ficedula albicollis OX=59894 GN=LOC101813945 PE=3 SV=1 tr|U3JDZ0|U3JDZ0_FICAL
Vasoactive intestinal polypeptide receptor (Fragment) OS=Corvus brachyrhynchos OX=85066 GN=N302_04420 PE=3 SV=1 tr|A0A091FY10|A0A091FY10_CORBR
Vasoactive intestinal polypeptide receptor (Fragment) OS=Manacus vitellinus OX=328815 GN=N305_05309 PE=3 SV=1 tr|A0A093PSD4|A0A093PSD4_9PASS
